"","Cruise","Station","Type","mon.day.yr","hh.mm","Longitude","Latitude","WCDepth","SampleDepth","QF.0","TEMP","QF.1","PSAL","QF.2","DOXY.umol.l.","QF.3","DateTime"
"729732","ICES/35GDENQ630d0","0710","B","9/6/1999","05:05",-4.66930000000002,43.6455,175,53,0,13.36,0,35.64,0,NA,NA,1999-09-06 05:05:00
"2679295","ICES/68CAENQ461SE","0071","B","12/5/1994","13:27",-9.7133,39.75,1546,275.7,0,13.3751,0,35.9242,0,NA,NA,1994-12-05 13:27:00
"3320696","ICES/74SCENQ716k ","0527","B","11/12/2001","18:52",-4.70999999999998,59.7568,126,45,0,10.89,0,35.3,0,NA,NA,2001-11-12 18:52:00
"2911750","ICES/77AR        ","0529","B","9/27/1994","18:10",13.3,55,46,20,0,14.39,0,8.18,0,301.01,0,1994-09-27 18:10:00
"2416296","ICES/58GDENQ406g ","0235","B","6/18/2007","00:00",9.4667,57.9333,172,125,0,7.704,0,35.245,0,267.96,0,2007-06-18 00:00:00
"68345","ICES/26GT        ","0206","B","3/19/1992","19:00",12.3667,54.8,21,20,0,3.85,0,12.9,0,351.93,0,1992-03-19 19:00:00
"1981690","ICES/58JHENQ452  ","0807","B","6/22/1995","15:00",-11.7497,51.2507,1122,160,0,11.031,0,35.5191,0,NA,NA,1995-06-22 15:00:00
"231811","ICES/26MHENQ1047 ","0057","B","6/12/1999","06:18",-5.10000000000002,60.7167,907,70,0,9.5351,0,35.3952,0,NA,NA,1999-06-12 06:18:00
"42750","ICES/26GT        ","0047","B","2/13/1991","16:00",8.4167,57.4833,76,20,0,6.74,0,35,0,280.92,0,1991-02-13 16:00:00
"895456","ICES/35TTENQ630n4","1340","B","6/11/2004","21:56",5.5167,43.1,0,329,0,13.29,0,38.39,0,208.12,0,2004-06-11 21:56:00
"617827","ICES/35EUENQ630d0","0084","B","4/14/1997","11:31",4.7583,42.78,724,41,0,13.472,0,37.865,0,NA,NA,1997-04-14 11:31:00
"1708995","ICES/64TDENQ495  ","0019","B","9/4/1996","19:06",5.347,56.6668,59,14.25,0,16.13,0,34.19,0,NA,NA,1996-09-04 19:06:00
"2148001","ICES/58MSENQ679b ","0879","B","10/19/1999","17:10",5.3895,58.3752,328,45,0,13.297,0,34.599,0,NA,NA,1999-10-19 17:10:00
"2752500","ICES/29CSPROSARP0","0079","B","3/20/1992","03:03",-8.99250000000001,42.2508,105,70,0,12.8021,0,35.8431,0,223.75,0,1992-03-20 03:03:00
"3397382","ICES/74SCENQ716u ","0073","B","3/14/2005","18:31",-7.32850000000002,58.2238,95,30,0,7.95,0,35.368,0,NA,NA,2005-03-14 18:31:00
"599319","ICES/35A3ENQ630c0","0173","B","12/11/1997","20:24",-1.46420000000001,36.2417,0,60,0,15.288,0,37.268,0,NA,NA,1997-12-11 20:24:00
"3311326","ICES/74SCENQ716k ","0153","B","3/2/2001","09:46",-7.99130000000002,58.5257,152,4,0,7.57,0,NA,NA,NA,NA,2001-03-02 09:46:00
"696805","ICES/35TTENQ630d4","0225","B","9/9/1997","11:40",4.5,43.1667,73,69,0,14.14,0,38.03,0,NA,NA,1997-09-09 11:40:00
"747223","ICES/35HTENQ630e0","0024","B","9/18/1999","13:23",13.3182,36.4767,1688,1292,0,13.61,0,38.73,0,188.92,0,1999-09-18 13:23:00
